timestamp,market_price_usd_mwh,historical_power_mw,perfect_power_mw,historical_revenue_usd,perfect_revenue_usd,state_of_charge_pct,perfect_state_of_charge_pct
2025-03-03T00:00:00,11.76,-40.88,-40.88,-120.19,-120.19,45.6,48.0
2025-03-03T00:15:00,5.0,-60.0,-60.0,-75.0,-75.0,46.8,48.2
2025-03-03T00:30:00,5.0,-68.47,-68.47,-85.59,-85.59,48.2,49.1
2025-03-03T00:45:00,8.67,-79.0,-79.0,-171.23,-171.23,49.4,49.8
2025-03-03T01:00:00,7.29,-21.82,-43.63,-39.77,-79.52,45.2,52.8
2025-03-03T01:15:00,13.46,-53.24,-53.24,-179.15,-179.15,54.3,53.5
2025-03-03T01:30:00,5.0,-60.9,-60.9,-76.12,-76.12,53.5,54.3
2025-03-03T01:45:00,5.64,-57.09,-57.09,-80.5,-80.5,61.1,55.7
2025-03-03T02:00:00,15.05,-65.19,-65.19,-245.28,-245.28,50.2,56.5
2025-03-03T02:15:00,14.26,-72.78,-72.78,-259.46,-259.46,56.3,57.2
2025-03-03T02:30:00,19.87,17.72,-59.08,88.02,-293.48,53.8,59.0
2025-03-03T02:45:00,14.76,-59.03,-59.03,-217.82,-217.82,57.5,60.1
2025-03-03T03:00:00,13.87,-67.65,-67.65,-234.58,-234.58,61.4,60.7
2025-03-03T03:15:00,16.54,-23.17,-46.34,-95.81,-191.62,68.8,62.8
2025-03-03T03:30:00,17.22,-50.33,-50.33,-216.67,-216.67,54.1,63.6
2025-03-03T03:45:00,15.37,-33.99,-67.98,-130.61,-261.21,57.9,63.6
2025-03-03T04:00:00,17.21,-49.0,-49.0,-210.82,-210.82,54.6,65.5
2025-03-03T04:15:00,30.53,-44.51,-44.51,-339.72,-339.72,65.5,66.6
2025-03-03T04:30:00,25.83,-48.13,-48.13,-310.8,-310.8,58.3,67.2
2025-03-03T04:45:00,26.56,-65.72,-65.72,-436.38,-436.38,68.1,67.0
2025-03-03T05:00:00,37.06,12.85,12.85,119.06,119.06,75.0,71.7
2025-03-03T05:15:00,33.12,18.44,-61.47,152.68,-508.97,68.2,68.6
2025-03-03T05:30:00,44.47,13.14,13.14,146.08,146.08,77.3,72.9
2025-03-03T05:45:00,36.34,6.37,6.37,57.87,57.87,70.8,73.1
2025-03-03T06:00:00,41.57,-13.22,-13.22,-137.39,-137.39,65.4,72.6
2025-03-03T06:15:00,48.0,19.01,19.01,228.12,228.12,75.5,74.7
2025-03-03T06:30:00,51.44,13.81,13.81,177.6,177.6,72.5,74.8
2025-03-03T06:45:00,51.05,1.99,1.99,25.4,25.4,77.3,74.5
2025-03-03T07:00:00,49.15,7.87,7.87,96.7,96.7,72.9,75.0
2025-03-03T07:15:00,49.69,3.61,3.61,44.85,44.85,70.8,75.0
2025-03-03T07:30:00,53.09,10.86,10.86,144.14,144.14,79.4,75.5
2025-03-03T07:45:00,59.34,12.88,41.43,191.07,614.61,78.5,77.1
2025-03-03T08:00:00,56.7,26.58,65.09,376.77,922.65,75.2,78.2
2025-03-03T08:15:00,51.64,9.48,9.48,122.39,122.39,77.3,75.4
2025-03-03T08:30:00,59.18,35.58,62.7,526.41,927.65,72.3,77.9
2025-03-03T08:45:00,57.9,26.87,67.06,388.94,970.69,74.8,78.0
2025-03-03T09:00:00,63.97,79.01,79.01,1263.57,1263.57,81.8,78.3
2025-03-03T09:15:00,66.85,57.25,57.25,956.79,956.79,79.8,76.9
2025-03-03T09:30:00,64.05,98.41,98.41,1575.79,1575.79,80.6,78.6
2025-03-03T09:45:00,67.14,99.32,99.32,1667.09,1667.09,78.7,78.2
2025-03-03T10:00:00,67.52,25.63,58.46,432.63,986.8,78.6,75.7
2025-03-03T10:15:00,62.02,46.28,46.28,717.57,717.57,66.5,74.5
2025-03-03T10:30:00,67.04,46.26,87.13,775.32,1460.3,79.3,75.9
2025-03-03T10:45:00,66.48,70.79,70.79,1176.53,1176.53,77.7,74.5
2025-03-03T11:00:00,72.77,93.54,93.54,1701.73,1701.73,80.6,74.9
2025-03-03T11:15:00,68.89,85.24,85.24,1468.05,1468.05,79.0,73.7
2025-03-03T11:30:00,67.06,42.12,42.12,706.14,706.14,73.9,70.7
2025-03-03T11:45:00,75.81,60.22,60.22,1141.32,1141.32,75.2,70.8
2025-03-03T12:00:00,69.23,51.44,92.59,890.3,1602.5,64.8,71.5
2025-03-03T12:15:00,69.43,25.59,43.57,444.18,756.27,73.9,68.1
2025-03-03T12:30:00,70.15,57.88,57.88,1015.07,1015.07,66.3,67.9
2025-03-03T12:45:00,72.46,-29.3,97.68,-530.77,1769.47,70.6,68.8
2025-03-03T13:00:00,73.03,83.89,83.89,1531.62,1531.62,70.0,67.1
2025-03-03T13:15:00,73.22,23.81,47.12,435.84,862.53,59.7,64.2
2025-03-03T13:30:00,72.14,-12.1,40.34,-218.22,727.53,66.3,62.7
2025-03-03T13:45:00,74.6,93.5,93.5,1743.78,1743.78,52.9,64.2
2025-03-03T14:00:00,74.89,92.14,92.14,1725.09,1725.09,61.2,63.0
2025-03-03T14:15:00,67.94,69.16,69.16,1174.68,1174.68,57.7,60.6
2025-03-03T14:30:00,70.71,62.45,62.45,1103.96,1103.96,53.2,59.1
2025-03-03T14:45:00,62.48,52.72,52.72,823.49,823.49,57.1,57.4
2025-03-03T15:00:00,64.99,-12.7,42.34,-206.34,687.92,60.5,55.6
2025-03-03T15:15:00,59.31,60.57,60.57,898.1,898.1,57.8,55.3
2025-03-03T15:30:00,66.29,46.6,46.6,772.28,772.28,57.4,53.4
2025-03-03T15:45:00,60.09,-17.1,57.01,-256.88,856.43,46.7,52.6
2025-03-03T16:00:00,63.34,44.83,84.08,709.88,1331.41,53.1,52.7
2025-03-03T16:15:00,58.29,34.47,69.83,502.31,1017.6,47.8,50.8
2025-03-03T16:30:00,55.81,28.81,97.89,401.97,1365.81,55.6,51.0
2025-03-03T16:45:00,51.77,-4.02,-4.02,-52.03,-52.03,38.8,44.6
2025-03-03T17:00:00,42.09,-19.83,-19.83,-208.66,-208.66,41.1,42.6
2025-03-03T17:15:00,45.29,17.16,17.16,194.29,194.29,34.7,43.3
2025-03-03T17:30:00,50.12,-8.75,-8.75,-109.64,-109.64,47.4,40.8
2025-03-03T17:45:00,42.04,8.49,8.49,89.23,89.23,41.4,40.5
2025-03-03T18:00:00,40.07,8.6,8.6,86.15,86.15,51.1,39.4
2025-03-03T18:15:00,33.68,-42.91,-42.91,-361.3,-361.3,40.4,35.7
2025-03-03T18:30:00,33.93,-44.2,-44.2,-374.93,-374.93,26.8,34.5
2025-03-03T18:45:00,24.42,-64.95,-64.95,-396.52,-396.52,31.3,32.5
2025-03-03T19:00:00,28.33,-57.22,-57.22,-405.26,-405.26,25.9,31.8
2025-03-03T19:15:00,28.53,-57.7,-57.7,-411.55,-411.55,23.9,30.8
2025-03-03T19:30:00,29.16,-43.39,-43.39,-316.31,-316.31,31.7,30.6
2025-03-03T19:45:00,23.64,-67.17,-67.17,-396.97,-396.97,30.6,28.6
2025-03-03T20:00:00,15.93,-65.03,-65.03,-258.98,-258.98,33.7,27.8
2025-03-03T20:15:00,18.94,-32.56,-65.12,-154.17,-308.34,24.1,27.0
2025-03-03T20:30:00,12.82,-57.0,-57.0,-182.68,-182.68,28.4,26.7
2025-03-03T20:45:00,16.53,-63.49,-63.49,-262.37,-262.37,25.0,25.7
2025-03-03T21:00:00,12.15,-71.84,-71.84,-218.21,-218.21,18.4,24.6
2025-03-03T21:15:00,20.32,-59.21,-59.21,-300.79,-300.79,21.0,24.7
2025-03-03T21:30:00,13.6,-48.62,-48.62,-165.31,-165.31,24.6,24.7
2025-03-03T21:45:00,5.0,22.93,-76.44,28.66,-95.55,23.2,22.8
2025-03-03T22:00:00,12.51,15.76,-52.55,49.29,-164.35,20.4,23.6
2025-03-03T22:15:00,5.99,-41.56,-41.56,-62.24,-62.24,19.8,23.8
2025-03-03T22:30:00,5.0,-56.66,-56.66,-70.82,-70.82,21.4,22.7
2025-03-03T22:45:00,6.79,-54.79,-54.79,-93.01,-93.01,16.6,22.6
2025-03-03T23:00:00,5.0,-21.95,-43.89,-27.44,-54.86,13.2,23.0
2025-03-03T23:15:00,5.0,-30.47,-60.94,-38.09,-76.17,10.2,22.0
2025-03-03T23:30:00,5.0,-41.75,-41.75,-52.19,-52.19,16.0,22.9
2025-03-03T23:45:00,5.0,16.71,-55.71,20.89,-69.64,20.8,22.2
2025-03-04T00:00:00,14.02,-53.25,-53.25,-186.64,-186.64,25.9,22.4
2025-03-04T00:15:00,5.0,-70.3,-70.3,-87.88,-87.88,23.9,21.7
2025-03-04T00:30:00,5.0,-50.0,-50.0,-62.5,-62.5,21.4,22.9
2025-03-04T00:45:00,9.65,-22.15,-44.3,-53.44,-106.87,30.0,23.5
2025-03-04T01:00:00,5.0,-43.57,-43.57,-54.46,-54.46,16.2,23.8
2025-03-04T01:15:00,6.61,-29.75,-59.51,-49.16,-98.34,21.3,23.4
2025-03-04T01:30:00,5.0,-53.65,-53.65,-67.06,-67.06,22.9,24.2
2025-03-04T01:45:00,5.0,-34.16,-68.31,-42.7,-85.39,23.9,23.9
2025-03-04T02:00:00,6.82,-41.77,-41.77,-71.22,-71.22,30.4,25.8
2025-03-04T02:15:00,15.04,-22.38,-44.75,-84.15,-168.26,30.8,26.3
2025-03-04T02:30:00,13.98,-67.82,-67.82,-237.03,-237.03,27.6,25.8
2025-03-04T02:45:00,15.82,-52.03,-52.03,-205.78,-205.78,25.5,27.3
2025-03-04T03:00:00,9.66,-67.44,-67.44,-162.87,-162.87,27.7,27.3
2025-03-04T03:15:00,16.49,-24.14,-48.29,-99.52,-199.08,25.5,29.1
2025-03-04T03:30:00,26.3,-23.25,-46.49,-152.87,-305.67,15.9,30.0
2025-03-04T03:45:00,20.57,-65.79,-65.79,-338.33,-338.33,28.3,30.0
2025-03-04T04:00:00,20.24,-58.08,-58.08,-293.88,-293.88,32.6,31.3
2025-03-04T04:15:00,24.9,-56.08,-56.08,-349.1,-349.1,31.2,32.4
2025-03-04T04:30:00,27.43,20.94,-69.8,143.6,-478.65,30.2,32.7
2025-03-04T04:45:00,33.48,-73.77,-73.77,-617.45,-617.45,27.7,33.6
2025-03-04T05:00:00,35.23,15.01,15.01,132.2,132.2,43.7,39.1
2025-03-04T05:15:00,31.45,19.32,-64.41,151.9,-506.42,33.1,36.3
2025-03-04T05:30:00,34.14,-77.69,-77.69,-663.08,-663.08,37.5,36.8
2025-03-04T05:45:00,35.25,-6.33,-6.33,-55.78,-55.78,45.3,41.5
2025-03-04T06:00:00,34.29,-62.04,-62.04,-531.84,-531.84,43.5,39.9
2025-03-04T06:15:00,37.14,-3.6,12.01,-33.43,111.51,46.2,44.8
2025-03-04T06:30:00,50.67,-10.11,-10.11,-128.07,-128.07,35.6,44.9
2025-03-04T06:45:00,43.41,4.17,-13.9,45.25,-150.85,48.5,46.0
2025-03-04T07:00:00,43.86,1.72,1.72,18.86,18.86,49.5,48.0
2025-03-04T07:15:00,47.75,-4.66,-4.66,-55.63,-55.63,40.0,48.9
2025-03-04T07:30:00,59.79,20.77,58.33,310.46,871.89,52.1,53.3
2025-03-04T07:45:00,57.0,64.01,64.01,912.14,912.14,49.8,54.9
2025-03-04T08:00:00,54.51,11.29,11.29,153.85,153.85,49.6,53.5
2025-03-04T08:15:00,64.74,84.81,84.81,1372.65,1372.65,56.0,58.4
2025-03-04T08:30:00,60.32,32.98,60.32,497.34,909.63,60.8,58.4
2025-03-04T08:45:00,63.78,70.55,70.55,1124.92,1124.92,54.2,60.1
2025-03-04T09:00:00,63.42,19.38,42.88,307.27,679.86,54.9,59.9
2025-03-04T09:15:00,58.84,29.6,90.03,435.42,1324.34,65.2,63.5
2025-03-04T09:30:00,66.33,71.95,71.95,1193.11,1193.11,64.7,63.7
2025-03-04T09:45:00,71.38,27.47,75.4,490.2,1345.51,55.3,65.0
2025-03-04T10:00:00,67.78,67.67,67.67,1146.67,1146.67,68.8,65.7
2025-03-04T10:15:00,74.97,82.01,82.01,1537.07,1537.07,70.8,67.5
2025-03-04T10:30:00,76.2,19.17,71.2,365.19,1356.36,65.5,68.0
2025-03-04T10:45:00,75.79,-13.27,44.24,-251.43,838.24,74.1,67.7
2025-03-04T11:00:00,78.89,17.22,79.01,339.62,1558.27,60.7,70.4
2025-03-04T11:15:00,79.39,87.8,87.8,1742.61,1742.61,73.2,71.7
2025-03-04T11:30:00,77.33,69.5,69.5,1343.61,1343.61,73.6,71.7
2025-03-04T11:45:00,72.08,83.79,83.79,1509.9,1509.9,68.4,73.2
2025-03-04T12:00:00,71.88,70.45,70.45,1265.99,1265.99,75.5,73.4
2025-03-04T12:15:00,76.78,80.32,80.32,1541.74,1541.74,68.7,74.6
2025-03-04T12:30:00,79.35,74.27,74.27,1473.33,1473.33,74.3,75.0
2025-03-04T12:45:00,70.55,44.98,44.98,793.33,793.33,77.3,74.1
2025-03-04T13:00:00,74.31,96.0,96.0,1783.44,1783.44,74.8,77.3
2025-03-04T13:15:00,72.85,16.69,54.03,303.97,984.02,79.3,75.7
2025-03-04T13:30:00,75.26,40.1,40.1,754.48,754.48,76.6,75.5
2025-03-04T13:45:00,68.38,43.2,43.2,738.5,738.5,77.9,76.0
2025-03-04T14:00:00,64.48,41.96,41.96,676.4,676.4,70.2,76.3
2025-03-04T14:15:00,73.89,51.9,51.9,958.72,958.72,76.4,77.1
2025-03-04T14:30:00,71.66,65.5,65.5,1173.43,1173.43,76.6,78.0
2025-03-04T14:45:00,62.21,40.2,40.2,625.21,625.21,72.5,76.9
2025-03-04T15:00:00,64.29,99.03,99.03,1591.66,1591.66,72.2,79.9
2025-03-04T15:15:00,62.99,31.76,78.12,500.14,1230.19,85.4,78.9
2025-03-04T15:30:00,58.21,11.38,43.09,165.61,627.07,80.9,77.1
2025-03-04T15:45:00,62.27,67.55,67.55,1051.58,1051.58,75.2,78.3
2025-03-04T16:00:00,59.42,31.68,84.75,470.61,1258.96,69.9,79.0
2025-03-04T16:15:00,56.94,56.16,56.16,799.44,799.44,77.9,77.3
2025-03-04T16:30:00,54.67,18.98,18.98,259.41,259.41,70.1,75.2
2025-03-04T16:45:00,47.12,0.72,0.72,8.48,8.48,73.7,73.9
2025-03-04T17:00:00,43.21,-7.57,-7.57,-81.77,-81.77,74.2,73.1
2025-03-04T17:15:00,46.24,-0.4,-0.4,-4.62,-4.62,78.7,73.0
2025-03-04T17:30:00,36.48,11.14,11.14,101.6,101.6,71.0,73.1
2025-03-04T17:45:00,40.51,6.9,6.9,69.88,69.88,69.1,72.3
2025-03-04T18:00:00,33.8,-58.17,-58.17,-491.54,-491.54,67.0,68.5
2025-03-04T18:15:00,33.31,-56.08,-56.08,-467.01,-467.01,61.1,67.9
2025-03-04T18:30:00,36.1,12.57,12.57,113.44,113.44,68.5,70.6
2025-03-04T18:45:00,38.26,1.88,1.88,17.98,17.98,68.1,69.3
2025-03-04T19:00:00,33.71,-57.9,-57.9,-487.95,-487.95,57.5,65.5
2025-03-04T19:15:00,25.06,-64.1,-64.1,-401.59,-401.59,67.7,64.3
2025-03-04T19:30:00,19.16,-59.55,-59.55,-285.24,-285.24,61.1,63.6
2025-03-04T19:45:00,28.94,-31.82,-63.65,-230.22,-460.51,65.5,62.4
2025-03-04T20:00:00,12.69,-31.29,-62.57,-99.27,-198.5,58.5,61.5
2025-03-04T20:15:00,17.78,-78.45,-78.45,-348.71,-348.71,62.8,59.7
2025-03-04T20:30:00,16.05,-56.78,-56.78,-227.83,-227.83,57.0,59.7
2025-03-04T20:45:00,10.15,-50.33,-50.33,-127.71,-127.71,60.4,58.9
2025-03-04T21:00:00,16.94,-71.95,-71.95,-304.71,-304.71,67.2,56.7
2025-03-04T21:15:00,13.91,-26.79,-53.58,-93.16,-186.32,63.6,56.5
2025-03-04T21:30:00,15.84,-72.48,-72.48,-287.02,-287.02,53.4,54.4
2025-03-04T21:45:00,6.88,-76.32,-76.32,-131.27,-131.27,60.4,53.0
2025-03-04T22:00:00,14.99,-71.37,-71.37,-267.46,-267.46,50.3,52.0
2025-03-04T22:15:00,5.1,-35.54,-71.08,-45.31,-90.63,54.1,50.8
2025-03-04T22:30:00,14.1,-68.69,-68.69,-242.13,-242.13,49.4,49.7
2025-03-04T22:45:00,8.04,-79.82,-79.82,-160.44,-160.44,55.2,47.9
2025-03-04T23:00:00,7.13,-25.14,-50.29,-44.81,-89.64,47.7,48.1
2025-03-04T23:15:00,6.6,-27.39,-54.77,-45.19,-90.37,51.3,46.6
2025-03-04T23:30:00,5.51,-64.73,-64.73,-89.17,-89.17,40.6,44.9
2025-03-04T23:45:00,5.0,-59.89,-59.89,-74.86,-74.86,42.6,43.9
2025-03-05T00:00:00,5.0,-44.56,-44.56,-55.7,-55.7,45.7,43.4
2025-03-05T00:15:00,6.39,-37.1,-74.2,-59.27,-118.53,41.9,40.7
2025-03-05T00:30:00,5.7,-42.0,-42.0,-59.85,-59.85,32.8,41.1
2025-03-05T00:45:00,6.06,-28.5,-57.01,-43.18,-86.37,36.8,39.2
2025-03-05T01:00:00,7.15,-74.22,-74.22,-132.67,-132.67,37.4,37.1
2025-03-05T01:15:00,8.91,-37.45,-74.9,-83.42,-166.84,32.8,35.9
2025-03-05T01:30:00,12.9,-49.75,-49.75,-160.44,-160.44,39.2,36.1
2025-03-05T01:45:00,7.83,-65.23,-65.23,-127.69,-127.69,28.4,34.2
2025-03-05T02:00:00,9.68,-43.35,-43.35,-104.91,-104.91,24.6,34.2
2025-03-05T02:15:00,7.98,-79.06,-79.06,-157.72,-157.72,31.9,31.4
2025-03-05T02:30:00,11.36,-52.26,-52.26,-148.42,-148.42,29.6,31.8
2025-03-05T02:45:00,15.9,-71.69,-71.69,-284.97,-284.97,27.6,29.8
2025-03-05T03:00:00,5.0,-57.08,-57.08,-71.35,-71.35,29.9,29.6
2025-03-05T03:15:00,14.74,-63.31,-63.31,-233.3,-233.3,29.8,28.5
2025-03-05T03:30:00,18.83,-67.56,-67.56,-318.04,-318.04,29.8,27.4
2025-03-05T03:45:00,28.93,-22.88,-45.76,-165.48,-330.96,31.2,27.7
2025-03-05T04:00:00,23.31,-65.34,-65.34,-380.77,-380.77,31.2,26.0
